PSize;OD;thk;BendAngle;BendRadius
"1/8""";10.29;1.73;90;7.7175
DN8;13.72;2.23;90;10.29
DN10;17.14;2.31;90;12.855
DN15;21.34;2.77;90;16.005
DN20;26.67;2.87;90;20.0025
DN25;33.4;3.38;90;25.05
DN32;42.16;3.56;90;31.62
DN40;48.26;3.68;90;36.195
DN50;60.32;3.91;90;45.24
DN65;73.02;5.16;90;54.765
DN80;88.9;5.49;90;66.675
"3""1/2";101.6;5.74;90;76.2
DN100;114.3;6.02;90;85.725
DN125;141.3;6.55;90;105.975
DN150;168.27;7.11;90;126.2025
DN200;219.07;8.18;90;164.3025
DN250;273.05;9.27;90;204.7875
DN300;323.85;9.52;90;242.8875
DN350;355.6;9.52;90;266.7
DN400;406.4;9.52;90;304.8
DN450;457.2;9.52;90;342.9
DN500;508;9.52;90;381
DN600;609.6;9.52;90;457.2
