PSize;OD;thk;BendAngle;BendRadius
DN25;33.4;3.38;90;41.75
DN32;42.16;3.56;90;52.7
DN40;48.26;3.68;90;60.325
DN50;60.32;3.91;90;75.4
DN65;73.02;5.16;90;91.275
DN80;88.9;5.49;90;111.125
"3""1/2";101.6;5.74;90;127
DN100;114.3;6.02;90;142.875
DN125;141.3;6.55;90;176.625
DN150;168.27;7.11;90;210.3375
DN200;219.07;8.18;90;273.8375
DN250;273.05;9.27;90;341.3125
DN300;323.85;9.52;90;404.8125
DN350;355.6;9.52;90;444.5
DN400;406.4;9.52;90;508
DN450;457.2;9.52;90;571.5
DN500;508;9.52;90;635
DN600;609.6;9.52;90;762
