PSize;FlangeType;D;d;df;f;t;n
DN15;SO;88.9;22.3;60.3;15.9;11.1;4
DN20;SO;98.4;27.7;69.8;15.9;12.7;4
DN25;SO;107.9;34.5;79.4;15.9;14.3;4
DN32;SO;117.5;43.2;88.9;15.9;15.9;4
DN40;SO;127;49.5;98.4;15.9;17.5;4
DN50;SO;152.4;62;120.6;19;19;4
DN65;SO;177.8;74.7;139.7;19;22.2;4
DN80;SO;190.5;90.7;152.4;19;23.8;4
DN90;SO;215.9;103.4;177.8;19;23.8;8
DN100;SO;228.6;116.1;190.5;19;23.8;8
DN125;SO;254;143.8;215.9;22.2;23.8;8
DN150;SO;279.4;170.7;241.3;22.2;25.4;8
DN200;SO;342.9;221.5;298.4;22.2;28.6;8
DN250;SO;406.4;276.3;361.9;25.4;30.2;12
DN300;SO;482.6;327.1;431.8;25.5;31.7;12
DN350;SO;533.4;359.1;476.2;28.6;34.9;12
DN400;SO;596.9;410.5;539.7;28.6;36.5;16
DN450;SO;635;461.8;577.8;31.7;39.7;16
DN500;SO;698.5;513.1;635;31.7;42.9;20
DN550;SO;749.3;564.4;692.1;34.9;46;20
DN600;SO;812.8;615.9;749.3;34.9;47.6;20
