PSize;FlangeType;D;t;d;trf;drf;df;f;n
DN15;WN;95;16;21.3;2;47;65;14;4
DN20;WN;105;18;26.9;2;57;75;14;4
DN25;WN;115;18;33.7;2;67;85;14;4
DN32;WN;140;18;42.4;2;78;100;18;4
DN40;WN;150;18;48.3;2;88;110;18;4
DN50;WN;165;18;60.3;2;103;125;18;4
DN65;WN;185;18;76.1;2;123;145;18;8
DN80;WN;200;20;88.9;2;138;160;18;8
DN100;WN;220;20;114.3;2;158;180;18;8
DN125;WN;250;22;139.7;2;188;210;18;8
DN150;WN;285;22;168.3;2;214;240;22;8
DN200;WN;340;24;219.1;2;269;295;22;12
DN250;WN;405;26;273;2;325;355;26;12
DN300;WN;460;28;323.9;2;380;410;26;12
DN350;WN;520;30;335.6;2;440;470;26;16
DN400;WN;580;32;406.4;2;491;525;30;16
DN450;WN;640;40;457;2;551;585;30;20
DN500;WN;715;44;508;2;613;650;33;20
DN600;WN;840;54;610;2;730;770;36;20
DN700;WN;910;36;711;2;800;840;36;24
DN800;WN;1025;38;813;2;907;950;39;24
DN900;WN;1125;40;914;2;1007;1050;39;28
DN1000;WN;1255;42;1016;2;1124;1170;42;28
