PSize;FlangeType;D;t;dwn;ODp;d;trf;twn;drf;df;f;n
DN15;WN;95;16;32;21.3;17.3;2;22;0;65;14;4
DN20;WN;105;18;40;26.9;22.3;2;22;0;75;14;4
DN25;WN;115;18;46;33.7;28.5;2;22;0;85;14;4
DN32;WN;140;18;56;42.4;37.2;2;24;0;100;18;4
DN40;WN;150;18;64;48.3;43.1;2;27;0;110;18;4
DN50;WN;165;18;74;60.3;54.5;2;27;0;125;18;4
DN65;WN;185;18;92;76.1;70.3;2;27;0;145;18;8
DN80;WN;200;20;105;88.9;82.5;2;30;0;160;18;8
DN100;WN;220;20;131;114.3;107.1;2;32;0;180;18;8
DN125;WN;250;22;156;139.7;131.7;2;33;0;210;18;8
DN150;WN;285;22;184;168.3;159.3;2;33;0;240;22;8
DN200;WN;340;24;235;219.1;206.5;2;38;0;295;22;12
DN250;WN;405;26;292;273;260.4;2;44;0;355;26;12
DN300;WN;460;28;344;323.9;309.7;2;50;0;410;26;12
DN350;WN;520;30;390;335.6;319.6;2;52;0;470;26;16
DN400;WN;580;32;445;406.4;390.4;2;53;0;525;30;16
DN450;WN;640;40;490;457;441;2;47;0;585;30;20
DN500;WN;715;44;548;508;492;2;46;0;650;33;20
DN600;WN;840;54;652;610;592.4;2;41;0;770;36;20
DN700;WN;910;36;755;711;693.4;2;64;0;840;36;24
DN800;WN;1025;38;855;813;793;2;67;0;950;39;24
DN900;WN;1125;40;955;914;894;2;70;0;1050;39;28
DN1000;WN;1255;42;1058;1016;996;2;78;0;1170;42;28
