PSize;OD;OD2;thk;thk2;H
DN20;26.9;21.3;3;0;0
DN25;33.7;26.9;3;0;0
DN32;42.4;33.7>26.9;3;0;0
DN40;48.3;42.4>33.7>26.9;3;0;0
DN50;60.3;48.3>42.4>33.7>26.9;3;0;0
DN65;76.1;60.3>48.3>42.4>33.7;3;0;0
DN80;88.9;76.1>60.3>48.3>42.4;3;0;0
"3""1/2";101.6;88.9>76.1>60.3>48.3>42.2;3;0;0
DN100;114.3;88.9>76.1>60.3>48.3;3;0;0
DN125;139.7;114.3>88.9>76.1>60.3;3;0;0
DN150;168.3;139.7>114.3>88.9>76.1;3;0;0
DN200;219.1;168.3>139.7>114.3>88.9;3;0;0
DN250;273;219.1>168.3;3;0;0
DN300;323.9;273>219.1;3;0;0
DN350;355.6;323.9>273>219.1;3;0;0
DN400;406.4;355.6>323.9>273;3;0;0
DN450;457;406.4>355.6>323.9;3;0;0
DN500;508;457>406.4>355.6;3;0;0
