SSize;stype;H;W;ta;tf;;;;;;;;;
HEA100;H;100;96;5;8;;;;;;;;;
HEA120;H;120;114;5;8;;;;;;;;;
HEA140;H;140;133;5.5;8.5;;;;;;;;;
HEA160;H;160;152;6;9;;;;;;;;;
HEA180;H;180;171;6;9.5;;;;;;;;;
HEA200;H;200;190;6.5;10;;;;;;;;;
HEA220;H;220;210;7;11;;;;;;;;;
HEA240;H;240;230;7.5;12;;;;;;;;;
HEA260;H;260;250;7.5;12.5;;;;;;;;;
HEA280;H;280;270;8;13;;;;;;;;;
HEA300;H;300;290;8.5;14;;;;;;;;;
HEA320;H;300;310;9;15.5;;;;;;;;;
HEA340;H;300;330;9.5;16.5;;;;;;;;;
HEA360;H;300;350;10;17.5;;;;;;;;;
HEA400;H;300;390;11;19;;;;;;;;;
HEA450;H;300;440;11.5;21;;;;;;;;;
HEA500;H;300;490;12;23;;;;;;;;;
HEA550;H;300;540;12.5;24;;;;;;;;;
HEA600;H;300;590;13;25;;;;;;;;;
HEA650;H;300;640;13.5;26;;;;;;;;;
HEA700;H;300;690;14.5;27;;;;;;;;;
HEA800;H;300;790;15;28;;;;;;;;;
HEA900;H;300;890;16;30;;;;;;;;;
HEA1000;H;300;990;16.5;31;;;;;;;;;
